,word2vec_cbow,word2vec_skipgram,fasttext,glove
good-great,0.8207308053970337,0.6462039947509766,0.8251779079437256,
bad-terrible,0.7831671237945557,0.7044740915298462,0.794875979423523,0.06668855249881744
happy-joyful,0.44531378149986267,0.6023451089859009,0.26652348041534424,
sad-depressed,0.6271417140960693,0.7158689498901367,0.5145507454872131,
love-adore,0.4943806529045105,0.4711163640022278,0.30924850702285767,
hate-despise,0.7188746929168701,0.7906310558319092,0.6463658809661865,
movie-film,0.8864562511444092,0.879389762878418,0.8395194411277771,0.07766780257225037
actor-actress,0.964853823184967,0.814339280128479,0.9506891965866089,
positive-negative,0.9820855855941772,0.8575354814529419,0.9817157983779907,0.2160435914993286
like-dislike,0.5107541084289551,0.5835590958595276,0.8697110414505005,
